Record Length,Analog:14000
Sample Interval,CH:0.0000099999997
Vertical Units,CH1:V,,,
Vertical Scale,CH1:+2.240000E-01,,,
Vertical Offset,CH1:+0.000000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,10000.0000000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMEBX3R1990,,,
Software Version,8.1.6.1.33,,,
Source,CH1
Second,Volt
+0.000000E+00,+4.032000E-01
+1.000000E-05,+3.584000E-01
+2.000000E-05,+3.673600E-01
+3.000000E-05,+3.673600E-01
+4.000000E-05,+3.763200E-01
+5.000000E-05,+3.763200E-01
+6.000000E-05,+3.673600E-01
+7.000000E-05,+3.763200E-01
+8.000000E-05,+3.673600E-01
+9.000000E-05,+3.673600E-01
+1.000000E-04,+3.763200E-01
+1.100000E-04,+3.852800E-01
+1.200000E-04,+4.032000E-01
+1.300000E-04,+4.300800E-01
+1.400000E-04,+4.032000E-01
+1.500000E-04,+4.032000E-01
+1.600000E-04,+4.032000E-01
+1.700000E-04,+3.852800E-01
+1.800000E-04,+3.763200E-01
+1.900000E-04,+3.673600E-01
+2.000000E-04,+3.673600E-01
+2.100000E-04,+3.404800E-01
+2.200000E-04,+3.315200E-01
+2.300000E-04,+3.136000E-01
+2.400000E-04,+3.046400E-01
+2.500000E-04,+2.956800E-01
+2.600000E-04,+2.777600E-01
+2.700000E-04,+2.777600E-01
+2.800000E-04,+2.777600E-01
+2.900000E-04,+2.777600E-01
+3.000000E-04,+2.688000E-01
+3.100000E-04,+2.598400E-01
+3.200000E-04,+2.777600E-01
+3.300000E-04,+2.598400E-01
+3.400000E-04,+2.419200E-01
+3.500000E-04,+2.598400E-01
+3.600000E-04,+2.508800E-01
+3.700000E-04,+2.508800E-01
+3.800000E-04,+2.598400E-01
+3.900000E-04,+2.508800E-01
+4.000000E-04,+2.508800E-01
+4.100000E-04,+2.508800E-01
+4.200000E-04,+2.419200E-01
+4.300000E-04,+2.508800E-01
+4.400000E-04,+2.419200E-01
+4.500000E-04,+2.419200E-01
+4.600000E-04,+2.329600E-01
+4.700000E-04,+2.688000E-01
+4.800000E-04,+2.777600E-01
+4.900000E-04,+2.867200E-01
+5.000000E-04,+2.777600E-01
+5.100000E-04,+2.777600E-01
+5.200000E-04,+2.688000E-01
+5.300000E-04,+2.688000E-01
+5.400000E-04,+2.508800E-01
+5.500000E-04,+2.419200E-01
+5.600000E-04,+2.329600E-01
+5.700000E-04,+2.150400E-01
+5.800000E-04,+2.150400E-01
+5.900000E-04,+2.150400E-01
+6.000000E-04,+1.971200E-01
+6.100000E-04,+1.971200E-01
+6.200000E-04,+1.702400E-01
+6.300000E-04,+1.971200E-01
+6.400000E-04,+1.792000E-01
+6.500000E-04,+1.792000E-01
+6.600000E-04,+1.792000E-01
+6.700000E-04,+1.702400E-01
+6.800000E-04,+1.612800E-01
+6.900000E-04,+1.702400E-01
+7.000000E-04,+1.971200E-01
+7.100000E-04,+1.702400E-01
+7.200000E-04,+1.881600E-01
+7.300000E-04,+1.792000E-01
+7.400000E-04,+1.881600E-01
+7.500000E-04,+1.702400E-01
+7.600000E-04,+1.702400E-01
+7.700000E-04,+1.612800E-01
+7.800000E-04,+1.612800E-01
+7.900000E-04,+2.150400E-01
+8.000000E-04,+1.612800E-01
+8.100000E-04,+1.702400E-01
+8.200000E-04,+1.792000E-01
+8.300000E-04,+1.792000E-01
+8.400000E-04,+1.792000E-01
+8.500000E-04,+1.702400E-01
+8.600000E-04,+1.612800E-01
+8.700000E-04,+1.523200E-01
+8.800000E-04,+1.344000E-01
+8.900000E-04,+1.344000E-01
+9.000000E-04,+1.344000E-01
+9.100000E-04,+1.344000E-01
+9.200000E-04,+1.344000E-01
+9.300000E-04,+1.254400E-01
+9.400000E-04,+1.254400E-01
+9.500000E-04,+1.164800E-01
